"filename", "language", "YAML", "Markdown", "JSON", "HTML", "MS SQL", "TypeScript", "JSON with Comments", "Docker", "TypeScript JSX", "XML", "PostCSS", "JavaScript", "Properties", "comment", "blank", "total"
"/Users/pedroottoni/ibiferti/.github/workflows/main.yml", "YAML", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"/Users/pedroottoni/ibiferti/README.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45
"/Users/pedroottoni/ibiferti/adubacao.md", "Markdown", 0, 949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 1161
"/Users/pedroottoni/ibiferti/auditoria_adubacao.html", "HTML", 0, 0, 0, 744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82, 834
"/Users/pedroottoni/ibiferti/backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/pedroottoni/ibiferti/backend/drizzle.config.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/pedroottoni/ibiferti/backend/drizzle/0000_concerned_chameleon.sql", "MS SQL", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 60
"/Users/pedroottoni/ibiferti/backend/drizzle/0001_smart_spacker_dave.sql", "MS SQL", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 18
"/Users/pedroottoni/ibiferti/backend/drizzle/0002_dear_thanos.sql", "MS SQL", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 44
"/Users/pedroottoni/ibiferti/backend/drizzle/meta/0000_snapshot.json", "JSON", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 398
"/Users/pedroottoni/ibiferti/backend/drizzle/meta/0001_snapshot.json", "JSON", 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500
"/Users/pedroottoni/ibiferti/backend/drizzle/meta/0002_snapshot.json", "JSON", 0, 0, 790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 790
"/Users/pedroottoni/ibiferti/backend/drizzle/meta/_journal.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"/Users/pedroottoni/ibiferti/backend/package-lock.json", "JSON", 0, 0, 9004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9005
"/Users/pedroottoni/ibiferti/backend/package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
