Date : 2026-07-08 15:38:03
Directory : /Users/pedroottoni/ibiferti
Total : 99 files,  27790 codes, 426 comments, 1599 blanks, all 29815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/pedroottoni/ibiferti/backend/src/middlewares/authMiddleware.ts        | TypeScript         |         32 |          1 |          6 |         39 |
| /Users/pedroottoni/ibiferti/backend/src/routes/adminRoutes.ts                | TypeScript         |        151 |         13 |         18 |        182 |
| /Users/pedroottoni/ibiferti/backend/src/routes/adubacaoRoutes.ts             | TypeScript         |         93 |         10 |         14 |        117 |
| /Users/pedroottoni/ibiferti/backend/src/routes/analisesRoutes.ts             | TypeScript         |        186 |         11 |         27 |        224 |
| /Users/pedroottoni/ibiferti/backend/src/routes/authRoutes.ts                 | TypeScript         |         75 |          3 |         16 |         94 |
| /Users/pedroottoni/ibiferti/backend/src/routes/fazendasRoutes.ts             | TypeScript         |        104 |         11 |         18 |        133 |
| /Users/pedroottoni/ibiferti/backend/src/routes/standaloneRoutes.ts           | TypeScript         |         61 |          0 |          7 |         68 |
| /Users/pedroottoni/ibiferti/backend/src/schemas/adubacaoSchema.ts            | TypeScript         |         74 |          6 |          6 |         86 |
| /Users/pedroottoni/ibiferti/backend/src/schemas/authSchema.ts                | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/pedroottoni/ibiferti/backend/src/schemas/calagemSchema.ts             | TypeScript         |        184 |          0 |         38 |        222 |
| /Users/pedroottoni/ibiferti/backend/src/server.ts                            | TypeScript         |         24 |          0 |          6 |         30 |
| /Users/pedroottoni/ibiferti/backend/src/services/calculadoraAdubacao.ts      | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/pedroottoni/ibiferti/backend/src/services/calculadoraCalagem.ts       | TypeScript         |        121 |          0 |         28 |        149 |
| /Users/pedroottoni/ibiferti/backend/src/services/motorAdubacao.ts            | TypeScript         |        152 |         13 |         23 |        188 |
| /Users/pedroottoni/ibiferti/backend/src/services/motorCalagem.ts             | TypeScript         |        250 |          1 |         28 |        279 |
| /Users/pedroottoni/ibiferti/backend/src/services/motorStandalone.ts          | TypeScript         |        124 |         13 |         20 |        157 |
| /Users/pedroottoni/ibiferti/backend/src/services/tabelaSmp.ts                | TypeScript         |         43 |         19 |          8 |         70 |
| /Users/pedroottoni/ibiferti/backend/src/services/tabelasAdubacaoGraos.ts     | TypeScript         |        244 |          8 |         24 |        276 |
| /Users/pedroottoni/ibiferti/backend/src/services/warnings.ts                 | TypeScript         |         14 |          0 |          7 |         21 |
| /Users/pedroottoni/ibiferti/backend/src/services/warningsAdubacao.ts         | TypeScript         |         65 |          4 |          9 |         78 |
| /Users/pedroottoni/ibiferti/backend/src/utils/adubacao.test.ts               | TypeScript         |         58 |          0 |         11 |         69 |
| /Users/pedroottoni/ibiferti/backend/src/utils/calagem.test.ts                | TypeScript         |        277 |          0 |         43 |        320 |
| /Users/pedroottoni/ibiferti/backend/test_insert.ts                           | TypeScript         |         40 |          0 |          1 |         41 |
| /Users/pedroottoni/ibiferti/backend/tsconfig.json                            | JSON with Comments |         15 |          0 |          0 |         15 |
| /Users/pedroottoni/ibiferti/docker-compose.prod.yml                          | YAML               |         50 |          3 |          5 |         58 |
| /Users/pedroottoni/ibiferti/docker-compose.yml                               | YAML               |         37 |          0 |          3 |         40 |
| /Users/pedroottoni/ibiferti/extracao_funcoes_sql.md                          | Markdown           |        164 |          0 |         35 |        199 |
